,PlayerName,Events,Rounds,CutsMade,Top10s,Wins,CupPoints,Earnings,YardsPerDrive,DrivingAcc,DriveTotal,GreensInReg,PuttAvg,SavePct,Age,Eagles,Birdies,Pars,Bogeys,BirdiesPerRound,HolesPerEagle,PlayerID
134,Bill Haas,23,69,16,2,0,312,730806,291.5,61.3,118,64.7,1.776,52.3,37,7.0,246.0,799.0,173.0,3.565,177.0,142
135,Martin Trainer,25,61,7,1,1,354,692155,303.8,50.8,25,60.5,1.7619999999999998,53.1,28,4.0,210.0,678.0,177.0,3.443,275.0,143
136,Jim Herman,21,48,5,1,1,321,678185,288.3,70.1,149,66.2,1.778,44.2,42,4.0,172.0,540.0,134.0,3.583,216.0,144
137,Roberto Castro,22,72,16,2,0,312,674250,283.8,67.5,170,68.4,1.7719999999999998,46.9,34,4.0,267.0,840.0,164.0,3.708,324.0,145
138,Dominic Bozzelli,24,67,13,2,0,316,668449,296.4,60.2,76,66.9,1.709,55.6,28,4.0,279.0,743.0,157.0,4.164,302.0,146
139,Josh Teater,24,67,13,2,0,296,663570,292.0,63.5,113,70.5,1.767,37.5,40,6.0,262.0,767.0,148.0,3.91,201.0,147
140,Hank Lebioda,23,70,15,1,0,291,656802,294.0,65.6,95,69.2,1.7590000000000001,43.4,--,6.0,289.0,752.0,194.0,4.129,210.0,148
141,Beau Hossler,0,83,16,0,0,304,645795,299.4,59.2,53,67.0,1.739,52.3,25,6.0,329.0,907.0,221.0,3.964,249.0,149
142,Scott Langley,27,74,12,1,0,277,635883,271.3,69.0,187,62.0,1.735,53.0,31,5.0,263.0,837.0,204.0,3.554,266.0,150
143,Harris English,0,91,21,0,0,289,628922,301.0,61.6,46,66.8,1.764,51.4,30,13.0,318.0,1068.0,215.0,3.495,126.0,151
144,Stephan Jaeger,0,71,13,0,0,278,623145,293.7,59.5,100,66.0,1.7690000000000001,54.3,30,7.0,255.0,827.0,172.0,3.592,183.0,152
145,Roberto Diaz,23,65,14,2,0,271,620178,287.4,67.8,154,66.6,1.755,52.4,33,5.0,243.0,742.0,165.0,3.738,234.0,153
146,Zach Johnson,19,64,13,1,0,276,603160,287.5,66.6,153,62.6,1.767,54.1,44,7.0,214.0,746.0,167.0,3.344,165.0,154
147,Johnson Wagner,19,58,13,1,0,312,597792,283.4,67.1,171,71.6,1.755,40.2,40,5.0,232.0,657.0,138.0,4.0,209.0,155
148,Tyler Duncan,29,83,17,1,0,238,596502,288.2,69.6,150,68.5,1.784,44.6,30,12.0,281.0,961.0,215.0,3.386,125.0,156
149,Jimmy Walker,0,74,15,0,0,258,590437,299.2,55.7,55,64.7,1.794,61.8,42,4.0,243.0,875.0,185.0,3.284,333.0,158
150,Tom Hoge,32,90,17,1,0,252,573464,290.4,61.8,123,65.8,1.7930000000000001,49.6,30,6.0,315.0,1039.0,233.0,3.5,270.0,159
151,Chase Wright,26,69,11,2,0,265,571575,299.1,62.6,56,68.0,1.754,46.1,30,6.0,269.0,772.0,166.0,3.8989999999999996,207.0,160
152,Jonathan Byrd,17,49,11,1,0,283,550547,281.6,58.2,177,65.2,1.7630000000000001,41.2,42,4.0,180.0,566.0,120.0,3.673,221.0,161
153,Hudson Swafford,20,57,10,1,0,242,545191,295.2,57.7,88,66.8,1.746,54.6,32,7.0,204.0,650.0,142.0,3.5789999999999997,147.0,162
154,Trey Mullinax,0,73,14,0,0,260,536694,310.2,51.0,8,67.5,1.775,44.4,27,7.0,271.0,825.0,182.0,3.7119999999999997,188.0,163
155,Brendan Steele,0,62,12,0,0,204,515139,302.5,68.7,34,70.0,1.8119999999999998,38.9,36,4.0,221.0,710.0,153.0,3.565,279.0,164
156,Brandon Harkins,28,83,17,1,0,225,494795,304.3,57.0,23,67.7,1.743,48.6,33,8.0,337.0,874.0,245.0,4.06,187.0,166
157,Kramer Hickok,26,77,13,1,0,250,494424,291.0,69.2,121,67.1,1.786,43.6,27,6.0,281.0,881.0,196.0,3.6489999999999996,231.0,167
158,Jim Knous,18,53,10,1,0,223,490976,296.5,55.2,74,67.7,1.791,41.5,--,4.0,188.0,604.0,135.0,3.5469999999999997,239.0,168
159,Cameron Davis,0,72,13,0,0,252,477467,309.0,58.0,11,68.8,1.7730000000000001,46.8,25,11.0,283.0,804.0,176.0,3.931,118.0,169
160,Alex Prugh,0,71,13,0,0,217,467732,303.7,64.1,27,71.4,1.804,47.3,35,12.0,246.0,817.0,187.0,3.465,107.0,170
161,Joey Garber,22,57,10,2,0,209,454296,293.9,62.5,97,66.4,1.787,50.0,28,5.0,195.0,669.0,139.0,3.4210000000000003,205.0,171
162,Anders Albertson,25,64,10,1,0,199,449226,293.2,60.1,105,67.7,1.806,52.2,26,6.0,227.0,740.0,161.0,3.5469999999999997,192.0,172
163,Fabian Gomez,0,62,11,0,0,209,433027,290.2,68.2,125,68.1,1.775,45.3,41,9.0,220.0,715.0,160.0,3.548,124.0,173
164,Curtis Luck,23,59,10,1,0,190,432569,289.4,55.9,136,62.4,1.742,48.0,23,4.0,213.0,658.0,167.0,3.61,266.0,174
165,Satoshi Kodaira,0,64,12,0,0,141,421457,282.3,67.6,175,63.5,1.7830000000000001,38.9,30,3.0,225.0,680.0,212.0,3.516,384.0,175
166,Anirban Lahiri,23,69,14,1,0,164,419620,290.2,60.1,127,63.0,1.746,54.6,32,2.0,247.0,779.0,185.0,3.58,621.0,176
167,Sam Saunders,26,74,14,1,0,197,413887,299.9,56.5,51,64.8,1.76,47.9,32,3.0,280.0,826.0,193.0,3.784,444.0,177
